Account Name,Website,Account ID,18 Digit ID
Peugeot,www.groupe-psa.com,0010y00001XF0pu,0010y00001XF0puAAD
Independent Pet Partners,https://www.ipphl.com/,0010y00001XFAcC,0010y00001XFAcCAAX
Signet Jewelers,www.signetjewelers.com,0010y00001XGlQV,0010y00001XGlQVAA1
Prospira PainCare,www.prospirapaincare.com,0010y00001Y0Ycn,0010y00001Y0YcnAAF
Worley,www.worleyparsons.com,0010y00001YQLfY,0010y00001YQLfYAAX
Franciscan Health,www.franciscanhealth.org,0010y00001ZC7wg,0010y00001ZC7wgAAD
DTE Energy,www.dteenergy.com,0010y00001ZC809,0010y00001ZC809AAD
Elkay,www.elkay.com,0010y00001ZC81e,0010y00001ZC81eAAD
Duke Energy,www.duke-energy.com,0010y00001ZC89i,0010y00001ZC89iAAD
McAfee,www.mcafee.com,0010y00001ZD46U,0010y00001ZD46UAAT
Wescom Credit Union,www.wescom.org,0010y00001ZDyKd,0010y00001ZDyKdAAL
Strategic Link,www.Slchq.Com,0010y00001ZET2Y,0010y00001ZET2YAAX
Zillow Group,www.zillowgroup.com,0010y00001aObqT,0010y00001aObqTAAS
Power Design,www.powerdesigninc.us,0010y00001aOcT4,0010y00001aOcT4AAK
Whoop,www.whoop.com,0010y00001aTed3,0010y00001aTed3AAC
DigiCert,www.digicert.com,0010y00001aVpfN,0010y00001aVpfNAAS
Kootenai Medical Center,www.kh.org,0010y00001bPX9s,0010y00001bPX9sAAG
Edward-Elmhurst Health,eehealth.org,0010y00001bPXA4,0010y00001bPXA4AAO
Drury Hotels,www.druryhotels.com,0010y00001bStrO,0010y00001bStrOAAS
Diversey,diversey.com,0010y00001cRQMI,0010y00001cRQMIAA4
AHF Products,www.ahfproducts.com,0010y00001cziox,0010y00001czioxAAA
University of Phoenix,www.phoenix.edu,0010y00001dOwZm,0010y00001dOwZmAAK
Vice Media,www.vice.com,0010y00001dQhIF,0010y00001dQhIFAA0
Workday,www.workday.com,0010y00001dZLd8,0010y00001dZLd8AAG
Black Duck Software,www.blackduck.com,0010y00001e6DHz,0010y00001e6DHzAAM
Rackspace Technology,www.rackspace.com,0010y00001eO0Sx,0010y00001eO0SxAAK
Riot Games,www.riotgames.com,0010y00001eOOiO,0010y00001eOOiOAAW
Sport Clips,www.sportclips.com,0010y00001eRMq7,0010y00001eRMq7AAG
Fresenius Kabi USA,www.fresenius-kabi.com,0010y00001ffZoP,0010y00001ffZoPAAU
Clarios,www.clarios.com,0010y00001fg1fv,0010y00001fg1fvAAA
Dropbox,www.dropbox.com,0010y00001fgHla,0010y00001fgHlaAAE
Fortive,www.fortive.com,0010y00001hQOHn,0010y00001hQOHnAAO
Celonis,www.celonis.com,0010y00001hQZpb,0010y00001hQZpbAAG
Box,www.box.com,0010y00001hQpFi,0010y00001hQpFiAAK
Peloton Interactive,www.onepeloton.com,0010y00001hTNLX,0010y00001hTNLXAA4
Zoox,www.zoox.com,0010y00001hTNLv,0010y00001hTNLvAAO
Coupa,www.coupa.com,0010y00001iJ4ey,0010y00001iJ4eyAAC
Xerox Corporation,www.xerox.com,0010y00001iJJXw,0010y00001iJJXwAAO
Clearway Energy Group,clearwayenergygroup.com,0010y00001iLVvl,0010y00001iLVvlAAG
Elanco,www.elanco.com,0010y00001igETY,0010y00001igETYAA2
Bloomberg,www.bloomberg.com,0010y00001ihZ1x,0010y00001ihZ1xAAE
NPI Bank and Trust - Vantage Basic,,0010y00001kR07x,0010y00001kR07xAAC
NOV,www.nov.com,0010y00001kSDw4,0010y00001kSDw4AAG
First Business Financial Services,firstbusiness.bank/,0010y00001kSqev,0010y00001kSqevAAC
Pure Storage,www.purestorage.com,0010y00001lHR0D,0010y00001lHR0DAAW
Pinterest,www.pinterest.com,0010y00001lHR2E,0010y00001lHR2EAAW
Truist,truist.com,0010y00001lHb6B,0010y00001lHb6BAAS
Modernizing Medicine,www.modmed.com,0010y00001lXUgE,0010y00001lXUgEAAW
Ericsson,www.ericsson.com,0010y00001lbfwr,0010y00001lbfwrAAA
Waystar,www.waystar.com,0010y00001lnYmL,0010y00001lnYmLAAU
Citi,www.citi.com,0010y00001mNLjc,0010y00001mNLjcAAG
Cruise,http://www.getcruise.com,0010y00001mOdoY,0010y00001mOdoYAAS
Insight Global,www.insightglobal.com,0010y00001mrac5,0010y00001mrac5AAA
Impendi Analytics,https://www.impendianalytics.com/,0010y00001mtIsP,0010y00001mtIsPAAU
Caliber Collision,www.caliber.com,0010y00001mtTbN,0010y00001mtTbNAAU
Hand and Stone,www.handandstone.com,0010y00001mtTcB,0010y00001mtTcBAAU
Anaplan,http://www.anaplan.com,0010y00001o6LG4,0010y00001o6LG4AAM
Ciena,www.ciena.com,0010y00001o6lmO,0010y00001o6lmOAAQ
Sauer’s,http://www.cfsauer.com,0010y00001o7v9f,0010y00001o7v9fAAA
Corteva,www.corteva.com,0010y00001oHXBm,0010y00001oHXBmAAO
ADP,www.adp.com,0010y00001pPqD2,0010y00001pPqD2AAK
DocuSign,www.docusign.com,0010y00001pRnMj,0010y00001pRnMjAAK
Apex Clearing,http://www.apexclearing.com,0010y00001pSL7K,0010y00001pSL7KAAW
Motional,www.motional.com,0010y00001pSZhp,0010y00001pSZhpAAG
TD,www.td.com,0010y00001pqBAj,0010y00001pqBAjAAM
Coupang,www.coupang.com,0010y00001pqotm,0010y00001pqotmAAA
Delta Community Credit Union,http://www.deltacommunitycu.com,0010y00001prDrP,0010y00001prDrPAAU
ServiceNow,www.servicenow.com,0010y00001pramV,0010y00001pramVAAQ
Jane Street,www.janestreet.com,0010y00001qR1vt,0010y00001qR1vtAAC
Transportation Insight,www.transportationinsight.com,0010y00001qRJpq,0010y00001qRJpqAAG
Guardian Pharmacy Services,www.guardianpharmacy.com,0010y00001qRLiT,0010y00001qRLiTAAW
Mohegan Sun,www.mohegansun.com,0010y00001qRlO0,0010y00001qRlO0AAK
Sysmex,www.sysmex.co.jp,0010y00001qS2SA,0010y00001qS2SAAA0
Bessemer Trust,www.bessemertrust.com,0010y00001qS2e2,0010y00001qS2e2AAC
Duracell,www.duracell.com,0010y00001qSD3G,0010y00001qSD3GAAW
Valtech,www.valtech.com,0010y00001rFmv4,0010y00001rFmv4AAC
NTT,hello.global.ntt,0010y00001rFs4m,0010y00001rFs4mAAC
bSwift,www.bswift.com,0010y00001rFwmW,0010y00001rFwmWAAS
LegalZoom,www.legalzoom.com,0010y00001rGfLC,0010y00001rGfLCAA0
HealthEquity,www.healthequity.com,0010y00001rGn2H,0010y00001rGn2HAAS
Veoneer,www.veoneer.com,0010y00001rI8KW,0010y00001rI8KWAA0
Nuffield Health,www.nuffieldhealth.com,0010y00001tgrQH,0010y00001tgrQHAAY
Simple Benchmarks LLC,simplebenchmarks.com,0010y00001tgwa6,0010y00001tgwa6AAA
Celeros Flow Technology,www.celerosft.com,0010y00001th1a6,0010y00001th1a6AAA
Vanasse Hangen Brustlin,www.vhb.com,0010y00001torbV,0010y00001torbVAAQ
Inari,www.inari.com,0010y00001tppoa,0010y00001tppoaAAA
The American Kennel Club,www.akc.org,0010y00001tqDZM,0010y00001tqDZMAA2
Mastery Logistics Systems,mastery.net,0010y00001u2pR7,0010y00001u2pR7AAI
University Hospitals,www.uhhospitals.org,0011A00001Q9bou,0011A00001Q9bouQAB
Jabil,www.jabil.com,0011A00001QVtkl,0011A00001QVtklQAD
GTP International,gtpus.com,0011A00001QYFGX,0011A00001QYFGXQA5
World Bank Group,www.worldbank.org,0011A00001QpyXJ,0011A00001QpyXJQAZ
Vista Equity Partners,www.vistaequitypartners.com,0011A00001QpyY2,0011A00001QpyY2QAJ
Johnson & Johnson,www.jnj.com,0011A00001QqFQ6,0011A00001QqFQ6QAN
Visa,usa.visa.com,0011A00001QqFfa,0011A00001QqFfaQAF
Lloyds Banking Group,www.lloydsbankinggroup.com,0011A00001QsktT,0011A00001QsktTQAR
CNL Financial,www.cnl.com,0011A00001RdSBW,0011A00001RdSBWQA3
Guggenheim Partners,www.guggenheimpartners.com,0011A00001RmrtX,0011A00001RmrtXQAR
Commonwealth of Virginia,www.virginia.gov,0011A00001RtKBO,0011A00001RtKBOQA3
Suture Express,http://www.sutureexpress.com/,0011A00001RvEQV,0011A00001RvEQVQA3
Brink's,www.brinks.com,0011A00001SCoD5,0011A00001SCoD5QAL
Vision Service Plan,www.vsp.com,0011A00001SCsbu,0011A00001SCsbuQAD
Denali,www.denaliai.com,0011A00001SDUmd,0011A00001SDUmdQAH
Dynatrace,www.dynatrace.com,0011A00001SDr7E,0011A00001SDr7EQAT
Ethan Allen Global,www.ethanallen.com,0011A00001SFwFr,0011A00001SFwFrQAL
Verisign,www.verisign.com,0011A00001ST8uH,0011A00001ST8uHQAT
SCL Health,www.sclhealth.org,0011A00001T1QB7,0011A00001T1QB7QAN
Facebook,www.facebook.com,0011A00001T3OYC,0011A00001T3OYCQA3
VMware,www.vmware.com,0011A00001TDSBX,0011A00001TDSBXQA5
Synchrony Financial,www.synchrony.com,0011A00001TEZjk,0011A00001TEZjkQAH
Sensata Technologies,www.sensata.com,0011A00001TFDYH,0011A00001TFDYHQA5
Applied Systems,www.appliedsystems.com,0011A00001TPxSf,0011A00001TPxSfQAL
Qantas,www.qantas.com,0011A00001Thz95,0011A00001Thz95QAB
Indiana Regional Medical Center,www.indianarmc.org,0011A00001TiCkp,0011A00001TiCkpQAF
Devon Energy,www.devonenergy.com,0011A00001Tkak5,0011A00001Tkak5QAB
Zoom Video Communications,www.zoom.com,0011A00001TpDvS,0011A00001TpDvSQAV
Quest Software,www.quest.com,0011A00001U67kE,0011A00001U67kEQAR
Springfield Clinic,www.springfieldclinic.com,0011A00001U7tmG,0011A00001U7tmGQAR
"Department for Environment, Food & Rural Affairs does",https://www.gov.uk/government/organisations/hm-revenue-customs,0011A00001UJewR,0011A00001UJewRQAT
Reserve Bank of Australia,www.rba.gov.au,0011A00001UJoOE,0011A00001UJoOEQA1
Frontier Communications,www.frontier.com,0011A00001ULzdW,0011A00001ULzdWQAT
Nebraska Furniture Mart,www.nfm.com,0011A00001UVoTC,0011A00001UVoTCQA1
